ID,Esai,Gaya Belajar,Tipe Kepribadian
47,"Kebiasaan belajar saya biasanya dilakukan pada malam hari di kamar tidur karena suasananya lebih tenang dan kondusif. Saat ini, lingkungan di sekitar saya cukup sepi sehingga mendukung konsentrasi. Saya lebih nyaman belajar sendiri karena bisa mengatur ritme belajar sendiri tanpa mudah terdistraksi oleh orang lain. | Untuk memahami materi baru, langkah pertama saya adalah membaca garis besarnya, lalu mencatat poin penting atau mencoba latihan soal. Saya lebih suka belajar mandiri terlebih dahulu agar bisa fokus memahami konsep dasar. Namun, saya juga senang mendengarkan penjelasan orang lain jika menemui materi yang sulit. | Kondisi belajar yang paling saya sukai adalah suasana yang tenang dan rapi, seperti di kamar tidur dengan penerangan yang cukup. Di sekitar saya biasanya hanya ada buku catatan, laptop, dan segelas air putih. Suasana ini cocok karena membuat pikiran saya lebih rileks dan fokus. Saya merasa jauh lebih bersemangat dan produktif di lingkungan yang tenang dibandingkan tempat yang ramai. | Ketika menghadapi kesulitan belajar, saya selalu mencoba menyelesaikannya sendiri terlebih dahulu dengan membaca ulang materi atau mencari referensi tambahan di internet. Jika masih belum paham, saya baru akan meminta bantuan orang lain seperti teman atau guru. Internet dan video penjelasan daring biasanya menjadi hal utama yang sangat membantu saya menemukan solusi. | Saya belajar bahwa saya adalah pelajar mandiri yang butuh ketenangan. Saya ingin mempertahankan kemandirian ini, tetapi ingin mengubah kebiasaan menunda belajar. Di lingkungan baru, saya akan bersikap terbuka, mengamati situasi, dan perlahan beradaptasi serta membaur dengan teman-teman.",R,Ekstrovert
48,"belajar dirumah, sepi dan tenang, lebih suka belajar sendiri | mendengarkan penjelasan orang lain | suasana yang tenang | menanyakan hal kepada teman | lebih rajin ",A,Ekstrovert
49,"Saya sering belajar dirumah, dan hampir tiap malam belajar dan suasana yang tenang saat malam, lebih nyaman belajar bareng karena dapat memecahkan soal bersama | Saya dapat memahami materi dengan diadakan praktik secara langsung dan lebih suka dijelaskan materi secara langsung karena lebih mudah dipahami | Saya lebih suka suasana belajar yg sepi tenang dan damai agar fokus, dan saya akan merasa semangat saat berada dilingkungan yang tenang | saya akan mencari solusi di YouTube stay website lain agar lebih mendalami materi yg dipelajari, lebih sering menyelesaikan sendiri dibandung meminta bantuan | Saya merasa diri Saya terkadang masi malas dalam belajar dan saya ingin mengubah kebiasaan ini agar tidak menyesal dikedepan Hari nya, sikap Saya agak canggung dan merasa belum akrab tp lama kelamaan akan terbiasa",K,Ekstrovert
50,"saya belajar kalo mood saja. saya bisa belajar dgn fokus dikamar, dan jaran belajar jg si kl biasa paling banyak belajar saat ujian aja. saya suka mendengarkan lagu saat belajar (mencatat). saya lebih nyaman belajar sendiri agar fokus dan ga banyak omong. | menulis cara agar dapat memahami dgn baik dan cermat. kaya kl guru ngomong ""jadi caranya gini ..."" tp ga ditulis dipapam tulis, nah omongan kaya gt yg bikin paham. kl bisa ditulis dibuku biar kl lupa caranya yg ga ditulis dippn tulis, tp kita ms ada catetannya dibuku. | saya cocok belajar diatas kasur + mendengarkan lagu jj. karna kalo capek nulis langsung scroll tt bentar  | saya langsunh chat teman saya meminta bantuan untuk menjelaskannya ulang. | saya ingin belajar tiap hari, tp game sm tiktok lebih menarik jd saya akan scroll tt dulu baru belajar. tp saya akan belajar dulu deh habis ini",K,Introvert
51,"di kamar/r tamu, suasana yang tenang dgn mendengar kan musik dan lebih nyaman belajar sendiri | saya lebih suka mendengarkan penjelasan dari orang lain dan mencoba belajar sendiri dengan bantuin orang lain agar faham oleh materi | lebih bersemangat di lingkungan yang hening santai dan tidak ada yang mengganggu karna dapat membuat sya lebih fokus dalam belajar | saya lebih mencoba menyelesaikan sendiri jika saya benar' tidak yakin atau tidak bisa akan saya tanyakan kepada orang-lain | saya ingin mengubah fokus sya yang biasanya masih fokus di HP, dan saya akan mempertahankan cara belajar saya yang tenang dan santai dengan musik dan minuman",K,Ekstrovert
52,"aaya belajar dirumah dengan keadaan hening dan tenang,serta saya lebih nyamanbelajar sendiri karena lebih gampang konsentrasinya dibandingkan belajar bersama’ | dengan cara mengulang materi tersebut,saya suka dua’ nya tergantung pada materi yg diberikan | suasana yg hening karena dapat meningkatkan konsentrasi | saya lebih cenderung menyelesaikannya sendiri  | saya ingin lebih rajin lagi dalam belajar",R,Introvert
53,"biasanya saya belajar di malam hari,dengan suasan yang tenang dan mendengarkan musik sendirian,karena lebih nyaman dan tenang untung mengerjakan tugas  | Dengan di jelaskan di papan tulis oleh guru dan dijelaskan dengan teliti dan rinci | mendengarkan musik dengan suasana yang tenang dan sejuk | Dengan cara mengumpulkan niat dengan dibantu google dan menyelesaikan sendiri | Tidak,aku suka dengan cara belajarku sendiri dan menyesuaikan mood belajar dan menyesuaikan tempat",V,Ekstrovert
54,"belajar ketika akan ujian dan ketika ada tugas,terkadang ditempat yang sepi kadang jugaa juga mengerjakan dicafe sambil mengobrol bersama teman teman.tergantung suasana hati,kalau sedang mood belajar bersama orang lain,tapi jika tidak belajar se diri | dijelaskan dan diberikan contoh soal tentang materi tersebu.suka semuaa. | ketika belajar bersama teman teman saat nongkrong terkadang tidak fokus tapi seru.karena bikin hati senang.terkadang lebih suka lingkungan yang ramai,tpi kalau ada masalah lebih milih suasana yang tenang | yang membantu adalah pacar saya,karna dengan bercerita kepada pacar saya,saya akan mendapatkan penyelesaian atas masalah yang saya hadapii. | lebih rajin belajar",A,Ekstrovert
55,"saya biasanya belajar di rumah sendirian, suasana yg biasanya ada di sekitar saya saat ini yaitu terasa ramai. saya lebih suka belajar bersama' daripada sendirian karena kalau belajar sendirian bikin ngantuk | langkah-langkah yg biasa saya lakukan agar saya benar-benar memahami materi yaitu dengan dengan cara mendengarkan penjelasan orang lain | kondisi belajar yg paling saya sukai yaitu di tempat yg tidak begitu ramai karena membuat saya fokus untuk belajar, saya merasa lebih semangat saat ada di lingkungan suasana yg tenang | yg saya lakukan ketika menghadapi kesulitan saat belajar yaitu mencari solusi ke internet, terkadang saya mencoba untuk menyelesaikan sendiri terlebih dahulu tapi kalau saya nggak bisa baru searching ke internet | saya ingin mengubah diri saya supaya dapat belajar lebih giat lagi, dan sikap saya saat berada di lingkungan belajar baru yaitu beradaptasi agar dapat menyesuaikan",R,Introvert
56, Saya belajar setelah mandi setelah habis maghrib  dan Lebih suka belajar sendiri dengan di temani series atau lagu karna menurut  saya mereka bicara tapi tidak mengajak saya bicara jadi saya bisa fokus dan tidak merasa kesepian | Saya lebih suka belajar menggunakan 1 orang atau video penjelasan dan langsung mempraotekan dengan mengulang soal yang di jelaskan di video | Dengan menonton series di tempat yang sepi dan hanya spotify dan series yang menemeanu | Mencari video materi serupa lalu mencocokanya dengan google lens jika salah mengulangi lagi sampai benar | Awalnya saya akan bersosialisasi lalu ber adaptasi ,K,Ekstrovert
57,"Saya biasanya belajar di sudut kamar yang sepi, paling sering saat larut malam ketika semua orang sudah tidur dan suasana benar-benar hening. Saya sangat butuh lingkungan yang tenang tanpa gangguan suara atau visual agar bisa benar-benar fokus memikirkan sesuatu secara mendalam.Bagi saya, belajar sendiri jauh lebih nyaman daripada dalam kelompok. Belajar sendirian menghemat energi sosial saya dan memberi saya kebebasan penuh untuk mengatur kecepatan memahami materi tanpa perlu berbasa-basi atau merasa tertekan oleh kehadiran orang lain. | Saya biasanya memahami materi baru melalui belajar mandiri. Langkah pertama yang saya lakukan adalah membaca materi secara menyeluruh dalam suasana tenang agar bisa mencerna setiap detail tanpa gangguan. Setelah itu, saya akan membuat catatan ringkas atau peta konsep dengan bahasa saya sendiri untuk memastikan logika penyampaiannya sudah saya kuasai.Saya lebih suka belajar sendiri dibandingkan berdiskusi karena metode ini memberi saya ruang untuk berpikir mendalam dan mencari referensi tambahan sesuai kecepatan belajar saya. Dengan belajar mandiri, saya bisa lebih fokus merenungkan materi hingga benar-benar merasa paham sebelum berinteraksi dengan orang lain. | Kondisi belajar yang paling saya sukai adalah suasana yang tenang dan sunyi, seperti di dalam kamar atau sudut perpustakaan yang sepi. Di sekitar saya biasanya hanya ada laptop, buku catatan, dan segelas air putih. Lingkungan yang minimalis dan tanpa kebisingan sangat membantu saya untuk mencapai fokus maksimal.Suasana tenang sangat cocok bagi saya karena saya adalah tipe orang yang mudah terdistraksi oleh suara atau pergerakan orang di sekitar. Saya merasa jauh lebih bersemangat dan produktif saat berada di lingkungan yang sunyi, karena keramaian cenderung menguras energi mental saya dan membuat pikiran sulit terkonsentrasi. | Saat menghadapi kesulitan belajar, langkah pertama yang saya lakukan adalah mencoba menyelesaikannya sendiri terlebih dahulu. Saya biasanya mencari referensi tambahan melalui buku, video pembelajaran di YouTube, atau artikel di internet untuk mendapatkan perspektif yang berbeda. Jika saya masih merasa buntu, saya akan meminta bantuan kepada teman atau guru yang lebih memahami materi tersebut.Saya lebih memilih mencoba sendiri di awal karena proses tersebut membantu saya mengasah kemampuan berpikir kritis dan kemandirian. Namun, saya juga menyadari batasan diri dan tidak ragu untuk berdiskusi dengan orang lain agar pemahaman saya menjadi lebih komprehensif. | Melalui pengalaman belajar selama ini, saya menyadari bahwa saya adalah tipe pelajar yang membutuhkan target yang jelas untuk tetap termotivasi. Saya belajar bahwa konsistensi jauh lebih efektif daripada belajar dengan sistem kebut semalam. Hal yang ingin saya pertahankan adalah kebiasaan mencatat poin-poin penting, namun saya ingin mengubah kecenderungan menunda pekerjaan agar manajemen waktu saya menjadi lebih baik.Saat berada di lingkungan belajar yang baru, saya cenderung bersikap terbuka, suportif, dan adaptif. Saya berusaha mengamati budaya belajar di lingkungan tersebut dan aktif menjalin komunikasi dengan rekan-rekan baru agar proses adaptasi berjalan lebih cepat dan harmonis.",K,Introvert
58,belajar bersamaa karna bisa punya relasi dan b | mandiri | belajar dimall dicaffe ditaman sangat membantu merefleksikan tubuh dan pikiran sayaa | tidak karnaa saya cenderung apa apa sendiri  | senangg happy,A,Ekstrovert
59,"saya biasanya sering belajar di rumah dan biasanya saya sering belajar jika mau ujian dan ulangan, suasana yg ada disekitarku saat ini yaitu senang, saya lebih nyaman belajar bersama org lain karena biar gak membosankan | biasanya saya baca berulang ulang sampai paham dan bertanya kepada teman  | saat semuanya tidak banyak bicara karena membuat saya menjadi fokus. | bertanya kepada guru dan teman serta mencari di internet, dan saya biasnaya sering menyelesaikan sendiri terlebih dahulu. | biasa saja, yg ingin saya ubah yaitu ingin lebih fokus terhadap pembelajaran, sikap saya saat berada di lingkungan belajar baru yaitu menjadi diem.",K,Ekstrovert
60,"Otodidak memanfaatkan Media Sosial | dnegan sering meringkas dan membaca ulang catatan yg ditulis | aktif saling tanya jawba | terkadang susah me manage waktu, dan lebuh sering menyelesaikannya sendiri dan menjadikannya bahas evaluasi | ada, lebih memanfaatkan waktu untuk  membaca dan ber adaptasi dengan cara belajar baru",V,Ekstrovert
61,"bersama orang lain agar mendapatkan pikiran yang lebih luas | mendengarkan penjelasan orang lain | di lingkungan ramai | mencoba menyelesaikan sendiri agar dapat berusaha dulu | tidak, malu malu dan takut untuk berekspresi ",A,Ekstrovert
62,belajar mandiri membuat yang dipelajari masuk dan paham | Mendengarkan lewat vidio | Iya | sendiri  | senang,A,Introvert
63,belajar bersama orang lain krn seru dan menyenangkan | mendengarkan penjelasan oranglain karena tinggal dengerin | bersemangat jika di lingkungan yang tenang karena tidak banyak orang | menyelesaikan terlebih dahulu krn itu urusan ku | saya sebagai pelajar ingin meningkatkan belajar saya melalui literasi dan mendengarkan orang menjelaskan dll,A,Ekstrovert
64,"Lebih nyaman belajar sendiri karena membuat lebih konsentrasi dan tidak ada gangguan dari orang lain | Saya lebih suka mendengarkan penjelasan orang lain dan belajar mandiri untuk mencari kebenaran dalam mempelajari materi baru | Lebih bersemangat di suasana yang tenang karena bisa memfokuskan kegiatan belajar tanpa ada gangguan orang lain | Mencoba menyelesaikan sendiri, jika tidak mampu maka saya akan meminta bantuan kepada orang lain | Saya akan mempertahankan cara belajar dengan memahami, mengingat dan menulis",K,Introvert
65,"belajar saya adalah saat malam hari setelah makan malam, biasanya di dalam kamar tidur sendiri. Suasana malam yang sepi membuat saya jauh lebih mudah untuk berkonsentrasi tanpa banyak gangguan dari aktivitas orang lain di rumah. Di meja belajar saya saat ini, suasananya cukup minimalis, hanya ada laptop, buku catatan, dan lampu belajar yang cahayanya fokus ke meja. Jujur saja, saya tipe orang yang jauh lebih nyaman belajar sendirian daripada kerja kelompok. | saya lebih suka memahami materi mendengar kan penjelasan dari orang lain ,belajar mandiri  | suasana yang tenang | mencoba menyelesaikan nya sendiri terlebih dahulu  | tipe pelajar visual dan butuh ketenangan untuk berkembang ",R,Introvert
66,"tergantung,jika ada info belajar bareng saya langsung berangkat, jika tidak ada sayang belajar sendiri di rumah  | saya lebih suka memahami materi melalui diskusi karena lebih seru  | saya lebih bersemangat ketika di lingkungan ramai  | mencoba menyelesaikan sendiri terlebih dahulu agar bisa merasakan experience baru | mungkin untuk saat ini saya ingin mempertahankan nya dulu,dan jika di lingkungan baru saya akan menyesuaikan nya",K,Ekstrovert
67,"saya belajar saat suasana sepi | dengan memahami konsep dasar materinya, dan saya lebih suka belajar sendiri  | yang membuat saya fokus yaitu suasana yag tidak terlalu ramai  | bertanya ke saudara aku teman sebaya | dengan membaca dan memahami sudah cukup",R,Ekstrovert
68,"saya biasa belajar di sekolah dan terkadang juga dirumah, saya biasa belajar sambil mendengarkan musik, suasana yang saya suka adalah tenang, saya lebih suka belajar sendiri karena dapat lebih fokus pada materi yang dipelajari | saya biasa membaca ulang materi nya dan memahaminya, saya lebih suka memahami materi dari mendengar kan penjelasan dari orang lain  | suasana belajar yang tenang karena jika suasana nya tenang materi yang dipelajari akan mudah dipahami dan bisa lebih fokus  | jika mengalami kesulitan belajar maka saya akan mencari tau terlebih dahulu tetapi jika saya tidak menemukan jawabnya maka saya akan berdiskusi dengan orang lain  | tidak ada yang ingin saya rubah karena menurut saya metode belajar saya sudah mampu membuat saya memahami materi yang saya ingin pelajari ",A,Ekstrovert
69,"saya belajar jika mood saya membaik dan belajar saya harus di lingkungan yang tenang, biasanya saya lebih suka belajar sendiri  | saya biasanya cara memahami materi dengan cara diterangkan terlebih dahulu selanjutnya saya ingin latihan soal, karena dengan latihan soal saya bisa tahu mana yang sudah saya ketahui dan mana yang belum saya ketahui | saya suka suasana yang sepi tenang, soalnya dengan ketenangan tersebut saya mudah berkonsentrasi untuk memahami materi  | saya biasanya menghadapi masalah tersebut dengan mengumpulkan mood agar semangat belajar  | saya suka gaya belajar saya yang sekarang ",A,Ekstrovert
70,"Saya terbiasa belajar dengan metode mandiri di saat malam hari agar bisa lebih fokus tanpa gangguan. Belajar sendiri lebih nyaman bagi saya karena memberi keleluasaan untuk mengatur waktu, dan fokus secara mandiri. | Mengenai metode penerimaan informasi, saya menyukai kombinasi antara belajar mandiri dan diskusi. | Saya bekerja paling optimal dalam suasana yang tenang  | Saat menghadapi tantangan belajar, saya selalu berusaha mencoba memecahkannya sendiri terlebih dahulu untuk melatih kemampuan analisis. Jika benar-benar tidak paham, saya mengidentifikasi masalahnya dan mencari solusi melalui artikel referensi, buku, atau video edukasi sebelum meminta bantuan instruktur atau teman diskusi. | Saya terus melatih diri untuk mengurangi ketergantungan pada AI dan saya akan terus mempertahankan pendekatan yang terstruktur, objektif, dan fakta.",K,Introvert
71,"Kebiasaan belajar sehari hari saya sangat menyenangkan, saya bisa belajar di mana saja tidak harus di satu tempat, suasana yang ada di sekitar saya sangat senang, saya lebih suka belajar bersama karena dapat bertukar ide atau pokok pikiran | Dengan cara di selingi game saat penjelasan dan tidak terlalu monoton, saya lebih suka memahami materi dengan cara mendengar kan penjelasan orang lain karena lebih gampang dimengerti | Sedikit tenang dan sedikit ramai karna suasana yang pas membantu cepat bisa memahami, kedua nya saya suka keramaian saat kumpul dengan teman, dan saya suka suasana tenang saat ingin beristirahat | Saat mengalami kesulitan dalam belajar saya biasanya akan bertanya pada teman saya atau melihat video penjelasan, mencoba menyelesaikan sendiri terlebih dahulu | Lebih bisa fokus terhadap suatu hal, lebih giat belajar, saya akan mencoba menyapa atau mempelajari komunikasi yang ada di lingkungan baru",K,Ekstrovert
72,"kalau dirumah biasa nya nunggu suasana sepi biasa nya malam hari dikamar dan belajar nya sendiri kalau bner bner kesulitan baru minta tolong orang lain jika bnr² ga bisa mempelajari materinya. 

kalau di sekolah ya biasa bareng teman teman mengejarkannya bagi bagi tugas.  | menulis ulang catetan dan di perinci menggunakan bolpen warna warni dan di baca baca ulang tapi kalau bnr² ga paham baru tanya orang lain yg lebih tau.  | tenang ga ada suara atau gangguan apapun, disekitar ga ada orang sama sekali, cocoknya karna biar materinya masuk ke otak dan hafal. kalau buat belajar sendiri buat hafalan buat memahami suasana nya yang tenang tapi kalau buat diskusi suasana yang ramai.  | bertanya orang lain yang lebih paham kalau dirumah tanya kakak kalau di sekolah tanya guru atau teman dekat, kalau lagi sendiri biasa nonton youtube atau pun browsing  | pengalaman belajar biasa aja sih tp ya seru seru karna banyak kerja kelompok bareng temen di tempat tempat luar jadi seru aja sih, 
yang ingin ak ubah lebih fokus lagi dan lebih cepat memahami suatu materi . 
di lingkungan baru mungkin beradaptasi dulu memahami suasana lingkungan nya gmn dulu baru nanti bisa beradaptasi ",R,Ekstrovert
73,"saya belajar lebih nyaman sendiri ditempat sepi dan tenang agar saya bisa fokus | saya sering sekali memahami materi dengan cara menulis kembali materi atau memehami konsep materi | suasana yang tenang aman nyaman seperti dialam dikamar ditempat yang tenang dan sepi | saya sering sekali mudah lupa tetapi saya berusaha mengingat"" sampai ingat jika saya benar"" lupa saya pasti tanya ketmn  | saya orang yang ceria membuat tmen saya tertawa saat belajar tidak cenderung tegang",R,Introvert
74,"biasanya saya belajar dirumah tepatnya di kamar di meja belajar itu sekitar malam hari jam 7 biasanya suasana nya sunyi dan kadang bikin bosen kalau semisal tidak ada temen gitu saya sambil mendengarkan musik, kalau belum terlalu malem dan ada waktu luang gitu saya biasanya mengajak teman untuk keluar biar bisa belajar bersama. karena kalau belajar bersama teman itu rasanya nyaman karena ada tempat cerita juga jadi tidak membuat bosen. | saya biasanya membuat catetan baru di kertas/buku sesuai materi yang dipelajarin, biasanya saya membaca materi tersebut hingga benar"" paham dan saya lebih suka berdiskusi karena lebih mudah memahami materi jika dipikirkan bersama sama | biasanya saya di kamar sendirian dengan lampu yang lebih cerah itu bisa membuat semangat belajar meningkat dan saya lebih bersemangat apabila belajar dengan suasana yang tenang | saya kesulitan belajar itu apabila mendapatkan tugass yang jawabannya itu tidak ada di bacaan kadang merasa bingung karena belum pernah dipelajari tp mendapatkan tugas tersebut, solusi saya biasanya itu bertanya terlebih dahulu kpada teman dan saya mencoba mengerjakannya sendiri apabila tidak bisa nanti saya akan mencari bantuan tutorial di google atau di internet lainnya | saya itu kurangg fokus dan mudah bosen apabila suasana nya begitu"" saja, mungkin akan ditingkatkan lagii untuk itu dan saya ingin mempertahankan mencatat materi yang akan dipelajari, dan saya akan tingkatkan lagi mengenai waktu belajar saya dan akan saya tingkatkan lagi mungkin, untuk di lingkungan belajar baru saya mudah nyaman dengan tempat baru asal tempatnya itu sepi dan dapat membuat saya merasa lebih fokus",K,Ekstrovert
75,"menulis ulang poin yg penting. belajar dmn aja&kpn aja dgn suasana yg nyaman. lebih suka belajar bersama orang lain krn jika ada kesulitan bs didiskusikan | menulis poin yg penting, namun jika mengerjakan mtk/kim/fis lbh suka dicatat lengkap. 
lebih suka diskusi krn bs saling membantu | kondisi bljr yg aku sukai tmpt yg dingin,sunyi krn bs membuat lbh fokus.lbh bersemangat dgn suasana yg tenang | mencoba sendiri dulu, kalau tdk bisa baru bertanya ke orang lain sprti teman/guru | tdk ada yg ingin dirubah. sikapku dilingkungan belajar baru agak tdk nyaman dan tdk terlalu fokus, tergantung dengan guru pengajar dan teman",R,Introvert
76,"saya kebanyakan belajar ketika ada tugas, mendekati ujian atau jika ada ulangan harian, saya biasanya belajar dirumah atau terkadang juga ditempat les, saya lebih nyaman belajar sendiri karena menurut saya itu lebih masuk atau dapat dicerna dengan baik oleh saya, dan saya juga mudah menghafal atau paham jika belajar sendiri | cara saya menghafal biasanya dengan menghafalkannya berulang ulang kali atau bisa juga dengan cara mengerjakan latihan latihan soal, saya lebih suka memahami materi dengan belajar mandiri tetapi saya juga lumayan suka mendengarkan penjelasan dari orang lain | kondisi belajar yang paling saya suka adalah dengan keadaan tenang dan sunyi jika menghafal, tapi kalo hanya mengerjakan tugas biasa saya lebih suka dengan mendengarkan musik atau dengan menonton, saya lebih bersemangat jika berada dilingkungan yang tidak terlalu ramai taoi juga tidak terlalu sepi | jika saya kesulitan dalam belajar saya biasanya akan bertanya kepada guru saya, atau jika tidak biasanya saya akan mencari solusi melalui google atau aplikasi lainnya. saya lebih suka mencari cara untuk menyelesaikannya dulu terlebih dahulu jika memang masih engga bisa, sayaa baru akan mencari bantuan | dari cara saya belajar saya dapat mengetahui bahwa diri saya adalah pribadi yang sangat memplaning segala sesuatu yang penting",K,Introvert
77,"saat hari hari sekolah saya biasanya belajar pada malan hari setelah sholat isya, tapi saat weekend saya suka belajar diluar bersama teman teman saya | cara saya memahami materi adalah dengan mendengarkan penjelasan materi dari guru terlebih dahulu lalu mencoba mengerjakan contoh soal"" dan apabila kesulitan saya dapat bertanya kepada teman saya yang sudah paham | lingkungan belajar yang tenang dan nyaman dapat membuat saya lebih fokus belajar | saya akan bertanya kepada teman saya yang sudah paham materinya | saya suka belajar karena dengan belajar saya mendapatkan pengetahuan baru dan saat saya bisa memecahkan soal soal saya merasa ada kepuasan tersendiri terhadap diri saya, namun saya juga mudah lupaa tentang apa yang saya pelajari  terutama rumus rumus karena saya tidak menerapkanya dikehidupan saya sehari hari",K,Ekstrovert
78,"saya belajar dgn cara mencatat ulang lalu dihafalkan,biasanya mlm hari di kamar,suasananya biasa aja,lebih nyaman sndiri krn lbih fokus | melihat yt lalu dicatat dan mencoba mengerjakan soal,lebih suka belajar mandiri | saat malam yg sepi & dingin ada makanan ada minuman jg musik ,suasana yg tenang | dari yt lalu jika msh blm phm tanya teman,mncoba mnylesaikan sndri dahulu | ngga ada yg ingin dirubah dan hanya perlu menambah fokus",K,Introvert
79,"saya belajar hanya saat ada ujian saja karna menurut saya belajar 8jam di sekolah sudah sangat cukup , saya lebih nyaman belajar bersama orang lain karna jika saya sendiri tidak akan belajar  , tetapi akan main hp  | cara saya memahami materi adalah dg cara membaca lalu menuliskan ulang di buku  , saya menyukai semuanya kecuali belajar mandiri | kondisi belajar yang paling saya sukai adalah ruangan yang tidak berisik dan tidak gelap ruangan itu cocok untuk saya karna saya orangnya mudah hilang fokus jika di sekitar saya banyak gangguan seperti suara dll | ketika saya menghadapi kesulitan dalam mempelajari materi , saya akan menghubungi teman saya untuk menjelaskan ulang , jika teman saya juga gabisa biasanya saya akan mencari di youtube tentang materi tsb | sebenernya gaada yang perlu di pertahanin soalnya menurut saya cara belajar saya tidak baik. justru harus di rubah",K,Ekstrovert
80,"Kebiasaan belajar saya sehari-hari biasanya dilakukan pada malam hari, sekitar pukul 19.00 hingga 21.00, saat suasana rumah sudah mulai tenang. Saya lebih suka belajar di meja belajar kamar sendiri karena kondisinya yang hening dan minim gangguan. Mengenai kenyamanan, saya jauh lebih nyaman belajar sendiri. Alasannya, saya bisa mengatur kecepatan belajar saya sendiri tanpa merasa terburu-buru atau terhambat oleh orang lain, serta lebih mudah untuk tetap fokus pada materi yang sedang didalami. | kalau materi perhitungan, pertama saya mencatat rumus' sama memahami saat menulis, jika udah saya mencermati rumus itu. setelah dicermati saya mencari' contoh soal yang sama dengan materi itu. kalau materi teori saya lebih suka membaca dulu stelah itu memahami dgn melihat video di yt atau mendengarkan guru saat menjlaskan | kondisi belajar yang paling membuat fokus yaitu saat suasananya tenang, kalau saat belajar sendiri saya lebih suka belajar dengan mendengarkan musik. kalau di lingkungan ramai itu bisa lebih semangat karena seru, tapi kalau tenang lebih membuat saya lebih fokus | Ketika menghadapi tantangan atau kesulitan dalam belajar, hal pertama yang saya lakukan adalah mencoba menyelesaikannya sendiri terlebih dahulu. saya biasanya akan membaca ulang materi terkait atau mencari referensi tambahan melalui internet dan video edukasi untuk mendapatkan pemahaman yang lebih luas.Jika setelah mencoba mandiri saya masih menemui jalan buntu, saya akan meminta bantuan orang lain seperti teman diskusi atau bertanya langsung kepada guru. | selama ini yang membuatku lebih mengejar nilai saat lingkungan kelasnya pada rajin"". jadi saya dapat termotivasi kalau teman"" rajin saya juga harus lebih rajin lagi daripada sebelumnya",K,Ekstrovert
81,"saya biasanya belajar bisa dimana saja namun harus ditempat yang tenang dan sendiri, saya biasanya belajar dengan memahami soalnya terlebih dahulu lalu membaca dan sedikit menghafal. jika tentang hitungan saya lebih ke menonton vidio penjelasan dan contoh soal lalu mengerjakan sebanyak banyaknya.  | saya melakukan pendekatan secara berlapis tentang belajar mandiri. saya lebih suka memahami melalui pendengaran dari orang lain dan saya akau mendengarkan lebih dari 2orng lalu membandingkan jawaban mereka, untuk jawaban akhir saya lebih suka membandingkan dengan diri sendiri.  | kondisi saat malam hari yang sunyi saya suka karena itu membuat pikiran lebih tenang dan lebih nyaman untuk beradu argumen dengan pikiran saya sendiri. saya biasanya cenderung suka lingkungan yang tenang.  | biasanya saya akan mengumpulkan niat terlebih dahulu dan saya akan menjauh dari hp. materi yg tidk saya pahami saya akn meminta penjelasan dari orang lain lalu meminta contoh soal lalu saya mengerjakan dan saya minta untuk minta pembetulan dari orang tersebut.  | saya mempelajari bahwa selama pikiran kita terjaga maka kita akan mudah mengendalikannya dan saya akan selalu berusaha untuk menjaga pikiran saya tetap tenang dan rileks. saya akn mempertahankannya. sikap saya slama ini pada lingkungan belajar baru bisa saya sesuaikan tergantung dengan diri saya sendiri. ",V,Introvert
82,"saya biasanya belajar disekolah bersama dengan teman teman saya, karena saya merasa akan lebih mudah memahami materi jika mengerjakannya bersama teman teman saya..namun ketika sedang ujian saya lebih suka belajad sendiri ditempat yang tenang dan hanya ada saya, saya merasa jika di tempat yang tenang akan lebih fokus dan materi yang saya pelajari bisa saya pahami dan saya ingat. | saya suka memahami materi jika berdiskusi atau bertanya dengan teman teman saya, karena terkadang beberapa guru menjelaskan materi namun saya kurang paham sehingga saya berdiskusi dengan teman saya jika teman saya kurang paham, kami akan belajar memahami materi ssndiri lewat media sosial atau youtube, saya lebih suka jika materinya dijelaskan lalu kami mencatat matereri yang sudah dijelaskan..karena benerala guru hanya menjelaskan saja tanpa mencatatkan atau mengirim ppt materi tersebut | saat saya belajar, saya lebih suka suasane yang tenang dan sepi..karena itu dapat membantu saya memahami materi dan fokus untuk belajar sehingga materi yang saya pelajari bisa masuk ke otak saya..saya bisa memposisikan diri saya, saat sedang bersama teman teman saya disuasana yang ramai saya bisa bersemangat, namun saat di suasana yang tenang saya juga bisa menyesuaikan tempat tersebut | saya merasa saya sulit memahami beberapa materi yang duberikan guru saya, menurut saya tantantannya saya harus belajar sendiru untuk benar benar memahami materi tersebut..biasanya saya mencari materi tersebut dari internet dan bertanya kepasa teman teman saya.. | saya ingin terus belajar untuk mengetahui materi yang ada walaupun saya kurang semangat untuk memelajarinya, namun saya akan mencoba untuk konsisten belajar",R,Ekstrovert
